Line/Series,Wave,Release Month/Year,Size Class,Figure Name
War for Cybertron: Siege,Wave 1,January 2019,Deluxe Class,WFC-S7 Sideswipe
War for Cybertron: Siege,Wave 1,January 2019,Deluxe Class,WFC-S8 Cog (Weaponizer)
War for Cybertron: Siege,Wave 1,January 2019,Deluxe Class,WFC-S9 Autobot Hound
War for Cybertron: Siege,Wave 1,January 2019,Deluxe Class,WFC-S10 Skytread
War for Cybertron: Siege,Wave 2,March 2019,Deluxe Class,WFC-S20 Chromia
War for Cybertron: Siege,Wave 2,March 2019,Deluxe Class,WFC-S21 Ironhide
War for Cybertron: Siege,Wave 2,March 2019,Deluxe Class,WFC-S22 Autobot Sixgun (Weaponizer)
War for Cybertron: Siege,Wave 2,March 2019,Deluxe Class,WFC-S23 Prowl
War for Cybertron: Siege,Wave 3,June 2019,Deluxe Class,WFC-S35 Red Alert
War for Cybertron: Siege,Wave 3,June 2019,Deluxe Class,WFC-S36 Refraktor
War for Cybertron: Siege,Wave 3,June 2019,Deluxe Class,WFC-S37 Brunt (Weaponizer)
War for Cybertron: Siege,Wave 4,August 2019,Deluxe Class,WFC-S41 Barricade
War for Cybertron: Siege,Wave 4,August 2019,Deluxe Class,WFC-S42 Autobot Impactor
War for Cybertron: Siege,Wave 4,August 2019,Deluxe Class,WFC-S43 Autobot Mirage
War for Cybertron: Siege,Wave 5,October 2019,Deluxe Class,WFC-S48 Spinister
War for Cybertron: Siege,Wave 5,October 2019,Deluxe Class,WFC-S49 Crosshairs
War for Cybertron: Siege,Wave 1,January 2019,Voyager Class,WFC-S11 Optimus Prime
War for Cybertron: Siege,Wave 1,January 2019,Voyager Class,WFC-S12 Megatron
War for Cybertron: Siege,Wave 2,March 2019,Voyager Class,WFC-S24 Starscream
War for Cybertron: Siege,Wave 2,March 2019,Voyager Class,WFC-S25 Soundwave
War for Cybertron: Siege,Wave 3,June 2019,Voyager Class,WFC-S38 Autobot Springer
War for Cybertron: Siege,Wave 4,August 2019,Voyager Class,WFC-S39 Thundercracker
War for Cybertron: Siege,Wave 5,October 2019,Voyager Class,WFC-S50 Apeface (w/ Spasma)
War for Cybertron: Siege,Wave 1,January 2019,Leader Class,WFC-S13 Ultra Magnus
War for Cybertron: Siege,Wave 1,January 2019,Leader Class,WFC-S14 Decepticon Shockwave
War for Cybertron: Siege,Wave 2,August 2019,Leader Class,WFC-S40 Galaxy Upgrade Optimus Prime
War for Cybertron: Siege,Wave 3,October 2019,Leader Class,WFC-S51 Astrotrain
War for Cybertron: Siege,2019,2019,Commander Class,WFC-S28 Jetfire
War for Cybertron: Siege,2019,2019,Titan Class,WFC-S29 Omega Supreme (w/ Autobot Countdown)
War for Cybertron: Earthrise,Wave 1,February 2020,Deluxe Class,WFC-E5 Hoist
War for Cybertron: Earthrise,Wave 1,February 2020,Deluxe Class,WFC-E6 Wheeljack
War for Cybertron: Earthrise,Wave 1,February 2020,Deluxe Class,WFC-E7 Cliffjumper
War for Cybertron: Earthrise,Wave 1,February 2020,Deluxe Class,WFC-E8 Ironworks (Modulator)
War for Cybertron: Earthrise,Wave 2,May 2020,Deluxe Class,WFC-E17 Arcee
War for Cybertron: Earthrise,Wave 2,May 2020,Deluxe Class,WFC-E18 Decepticon Airwave (Modulator)
War for Cybertron: Earthrise,Wave 2,May 2020,Deluxe Class,WFC-E19 Quintesson Allicon
War for Cybertron: Earthrise,Wave 2,May 2020,Deluxe Class,WFC-E20 Smokescreen
War for Cybertron: Earthrise,Wave 3,August 2020,Deluxe Class,WFC-E34 Trailbreaker
War for Cybertron: Earthrise,Wave 3,August 2020,Deluxe Class,WFC-E35 Decepticon Fasttrack (Weaponizer)
War for Cybertron: Earthrise,Wave 3,August 2020,Deluxe Class,WFC-E36 Sunstreaker
War for Cybertron: Earthrise,Wave 3,August 2020,Deluxe Class,WFC-E37 Runamuck
War for Cybertron: Earthrise,Wave 1,February 2020,Voyager Class,WFC-E9 Starscream
War for Cybertron: Earthrise,Wave 1,February 2020,Voyager Class,WFC-E10 Autobot Grapple
War for Cybertron: Earthrise,Wave 2,May 2020,Voyager Class,WFC-E21 Decepticon Snapdragon (w/ Decepticon Krunk)
War for Cybertron: Earthrise,Wave 3,August 2020,Voyager Class,WFC-E22 Quintesson Judge
War for Cybertron: Earthrise,Wave 3,August 2020,Voyager Class,WFC-E38 Megatron
War for Cybertron: Earthrise,Wave 1,February 2020,Leader Class,WFC-E11 Optimus Prime
War for Cybertron: Earthrise,Wave 1,February 2020,Leader Class,WFC-E12 Astrotrain
War for Cybertron: Earthrise,Wave 2,May 2020,Leader Class,WFC-E23 Doubledealer
War for Cybertron: Earthrise,2020,2020,Commander Class,WFC-E24 Sky Lynx
War for Cybertron: Earthrise,2020,2020,Titan Class,WFC-E25 Scorponok (w/ Lord Zarak)
War for Cybertron: Kingdom,Wave 1,January 2021,Deluxe Class,WFC-K4 Cheetor
War for Cybertron: Kingdom,Wave 1,January 2021,Deluxe Class,WFC-K5 Blackarachnia
